s,object_type
1018661w,http://example.com/ontology/World_Heritage
1019,http://example.com/ontology/Country
1019712m,http://example.com/ontology/Museum
1020395m,http://example.com/ontology/Museum
102045968b,http://example.com/ontology/Build
102045972b,http://example.com/ontology/Build
102046183b,http://example.com/ontology/Build
102046231b,http://example.com/ontology/Build
102046887b,http://example.com/ontology/Build
102047714b,http://example.com/ontology/Build
1021216b,http://example.com/ontology/Build
1021703m,http://example.com/ontology/Museum
102257148m,http://example.com/ontology/Museum
102283031m,http://example.com/ontology/Museum
102312434b,http://example.com/ontology/Build
102312434m,http://example.com/ontology/Museum
102326972m,http://example.com/ontology/Museum
102337148m,http://example.com/ontology/Museum
102338641m,http://example.com/ontology/Museum
102393850b,http://example.com/ontology/Build
102401443m,http://example.com/ontology/Museum
102452145m,http://example.com/ontology/Museum
1024723w,http://example.com/ontology/World_Heritage
1025640b,http://example.com/ontology/Build
1025825w,http://example.com/ontology/World_Heritage
1026013m,http://example.com/ontology/Museum
102679684m,http://example.com/ontology/Museum
10275655m,http://example.com/ontology/Museum
10275730m,http://example.com/ontology/Museum
10275807b,http://example.com/ontology/Build
10275821b,http://example.com/ontology/Build
10275871b,http://example.com/ontology/Build
10275929b,http://example.com/ontology/Build
102762485m,http://example.com/ontology/Museum
1027637m,http://example.com/ontology/Museum
102765453m,http://example.com/ontology/Museum
102767953m,http://example.com/ontology/Museum
10280162b,http://example.com/ontology/Build
10280205b,http://example.com/ontology/Build
10280390m,http://example.com/ontology/Museum
10280431m,http://example.com/ontology/Museum
1028275b,http://example.com/ontology/Build
10283605m,http://example.com/ontology/Museum
10283640m,http://example.com/ontology/Museum
10283905w,http://example.com/ontology/World_Heritage
1028555m,http://example.com/ontology/Museum
10286368m,http://example.com/ontology/Museum
1028759b,http://example.com/ontology/Build
1028985b,http://example.com/ontology/Build
1029,http://example.com/ontology/Country
10290950m,http://example.com/ontology/Museum
102928529m,http://example.com/ontology/Museum
10293286w,http://example.com/ontology/World_Heritage
1029764m,http://example.com/ontology/Museum
10298609m,http://example.com/ontology/Museum
10300241w,http://example.com/ontology/World_Heritage
10300396b,http://example.com/ontology/Build
10300690b,http://example.com/ontology/Build
10300880b,http://example.com/ontology/Build
10300967b,http://example.com/ontology/Build
1030135b,http://example.com/ontology/Build
1030210m,http://example.com/ontology/Museum
10302449m,http://example.com/ontology/Museum
10302528m,http://example.com/ontology/Museum
10302531m,http://example.com/ontology/Museum
10302546m,http://example.com/ontology/Museum
10303489b,http://example.com/ontology/Build
103038475m,http://example.com/ontology/Museum
103054216m,http://example.com/ontology/Museum
10306409m,http://example.com/ontology/Museum
1030648m,http://example.com/ontology/Museum
1031113m,http://example.com/ontology/Museum
1031457m,http://example.com/ontology/Museum
1031481m,http://example.com/ontology/Museum
103160541m,http://example.com/ontology/Museum
1031614b,http://example.com/ontology/Build
103185520m,http://example.com/ontology/Museum
1031914b,http://example.com/ontology/Build
1032083m,http://example.com/ontology/Museum
1032137b,http://example.com/ontology/Build
1032141b,http://example.com/ontology/Build
1032147b,http://example.com/ontology/Build
1032216m,http://example.com/ontology/Museum
1032248b,http://example.com/ontology/Build
10322927m,http://example.com/ontology/Museum
10323861b,http://example.com/ontology/Build
103252424m,http://example.com/ontology/Museum
1032536b,http://example.com/ontology/Build
1032560b,http://example.com/ontology/Build
1032571b,http://example.com/ontology/Build
1032573b,http://example.com/ontology/Build
1032581b,http://example.com/ontology/Build
1032584b,http://example.com/ontology/Build
1032612b,http://example.com/ontology/Build
1032619b,http://example.com/ontology/Build
1032646b,http://example.com/ontology/Build
1032662b,http://example.com/ontology/Build
1032697b,http://example.com/ontology/Build
1032707b,http://example.com/ontology/Build
10328528m,http://example.com/ontology/Museum
10328537m,http://example.com/ontology/Museum
10328555m,http://example.com/ontology/Museum
10328557m,http://example.com/ontology/Museum
10328569m,http://example.com/ontology/Museum
1033019w,http://example.com/ontology/World_Heritage
103308727m,http://example.com/ontology/Museum
103310055m,http://example.com/ontology/Museum
10332618h,http://example.com/ontology/Hotel
10332621m,http://example.com/ontology/Museum
103331335h,http://example.com/ontology/Hotel
10333375m,http://example.com/ontology/Museum
10333378m,http://example.com/ontology/Museum
10333380m,http://example.com/ontology/Museum
10333383m,http://example.com/ontology/Museum
10333395m,http://example.com/ontology/Museum
10333398m,http://example.com/ontology/Museum
10333407m,http://example.com/ontology/Museum
10333410m,http://example.com/ontology/Museum
10333412m,http://example.com/ontology/Museum
10333417m,http://example.com/ontology/Museum
10333422m,http://example.com/ontology/Museum
