s,name,cname
http://example.com/id/1013399w,Imperial Villa Nijō Castle,Japan
http://example.com/id/1055749w,Historic Monuments of Ancient Nara,Japan
http://example.com/id/1063133w,Shrines and Temples of Nikkō,Japan
http://example.com/id/1072125w,Chichijima,Japan
http://example.com/id/10856210w,Nozaki Island,Japan
http://example.com/id/10889854w,Anijima,Japan
http://example.com/id/10943106w,Imōtojima,Japan
http://example.com/id/10943140w,Anejima,Japan
http://example.com/id/11275423w,Hazamiyama Kofun,Japan
http://example.com/id/11357149w,Mitsubishi Heavy Industries Nagasaki Shipyard & Machinery Works Historical Museum,Japan
http://example.com/id/11357227w,Port of Misumi,Japan
http://example.com/id/11359978w,Kamiishizu Misanzai Kofun,Japan
http://example.com/id/11368031w,Maruhoyama Kofun,Japan
http://example.com/id/11370708w,Kamegaoka Stone Age Site,Japan
http://example.com/id/11376150w,Hitoana Fuji-ko Iseki,Japan
http://example.com/id/11378467w,Nakatsuyama Kofun,Japan
http://example.com/id/11378977w,Isedōtai Site,Japan
http://example.com/id/11402500w,Jōmon Prehistoric Sites in Northern Japan,Japan
http://example.com/id/11407776w,Minamijima,Japan
http://example.com/id/11410610w,Osamezuka Kofun,Japan
http://example.com/id/11411025w,Komuroyama Kofun,Japan
http://example.com/id/11415923w,Mukōhakayama Kofun,Japan
http://example.com/id/11423449w,Haze Nisanzai Kofun,Japan
http://example.com/id/11429120w,Hakayama Kofun,Japan
http://example.com/id/11441985w,Ōtorizuka Kofun,Japan
http://example.com/id/11444847w,"Amami-Ōshima Island, Tokunoshima Island, northern part of Okinawa Island, and Iriomote Island",Japan
http://example.com/id/11447744w,Nakōdo Island,Japan
http://example.com/id/11447764w,Yomejima,Japan
http://example.com/id/11467749w,Yamamiya Sengen Shrine,Japan
http://example.com/id/11471921w,Oka Misanzai Kofun,Japan
http://example.com/id/11476069w,Minegazuka Kofun,Japan
http://example.com/id/11479972w,Ichinoyama Kofun,Japan
http://example.com/id/11487395w,Otōtojima,Japan
http://example.com/id/11489009w,Gobyōyama Kofun,Japan
http://example.com/id/1151821w,North Iwo Jima,Japan
http://example.com/id/11544148w,Hashino iron mining and smelting site,Japan
http://example.com/id/11555978w,Tsudō-Shiroyama Kofun,Japan
http://example.com/id/11562956w,Yunotsu Onsen,Japan
http://example.com/id/11567538w,Muryōkō-in Ato,Japan
http://example.com/id/11586447w,Iwami Ginzan Kaidō,Japan
http://example.com/id/11637613w,Karusato Ōtsuka Kofun,Japan
http://example.com/id/11642740w,Nachi Primeval Forest,Japan
http://example.com/id/11645001w,Nonaka Kofun,Japan
http://example.com/id/11648027w,Kinkeizan,Japan
http://example.com/id/11650613w,Nabezuka Kofun,Japan
http://example.com/id/11659317w,Shūseikan,Japan
http://example.com/id/11664922w,Kashiragashima,Japan
http://example.com/id/11669662w,Takashima Coal Mine,Japan
http://example.com/id/11678145w,Kuroshima,Japan
http://example.com/id/1187278w,Nishinoshima,Japan
http://example.com/id/1203099w,Gangō-ji,Japan
http://example.com/id/120730w,Kyoto Prefecture,Japan
http://example.com/id/1333330w,Gusuku Sites and Related Properties of the Kingdom of Ryukyu,Japan
http://example.com/id/1333799w,Buddhist Monuments in the Hōryū-ji Area,Japan
http://example.com/id/13383295w,Ogasawara Archipelago,Japan
http://example.com/id/1362629w,National Museum of Western Art,Japan
http://example.com/id/16482294w,"Fujisan, sacred place and source of artistic inspiration",Japan
http://example.com/id/17209498w,Takayama-sha,Japan
http://example.com/id/17210757w,Tajima Yahei Sericulture Farm,Japan
http://example.com/id/17226685w,Kakinoshima Site,Japan
http://example.com/id/20043361w,Ebisugahana Shipyard,Japan
http://example.com/id/20207875w,Mukōjima,Japan
http://example.com/id/20637540w,Hagi Reverberatory Furnace,Japan
http://example.com/id/21653676w,Terayama Charcoal Kiln,Japan
http://example.com/id/2326743w,Shōkasonjuku Academy,Japan
http://example.com/id/28682892w,Meijima,Japan
http://example.com/id/28690431w,Ōfune Site,Japan
http://example.com/id/2896261w,"Hiraizumi – Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land",Japan
http://example.com/id/30593786w,Futatsumori Site,Japan
http://example.com/id/30925787w,Magodayūyama Kofun,Japan
http://example.com/id/324638w,Sacred Island of Okinoshima and Associated Sites in the Munakata Region,Japan
http://example.com/id/335618w,Kumano Hayatama Taisha,Japan
http://example.com/id/432124w,Iriomote Island,Japan
http://example.com/id/460367w,Todaiji temple,Japan
http://example.com/id/473472w,Hahajima,Japan
http://example.com/id/48751867w,Dōgameyama Kofun,Japan
http://example.com/id/49641014w,Higashijima,Japan
http://example.com/id/49646126w,Kitanoshima,Japan
http://example.com/id/5366860w,Hisaka Island,Japan
http://example.com/id/55524104w,Mozu-Furuichi Kofun Group: Mounded Tombs of Ancient Japan,Japan
http://example.com/id/55619850w,The Architectural Work of Le Corbusier,Japan
