s,name
26242212h,Hilton Garden Inn Sunderland
26306764h,The Mytton and Mermaid Hotel
2631856h,520 West 41st Street
26398842h,The Old Hall Hotel
26463120h,13 Market End
26483035h,"14 and 15, Warwick Road"
26537718h,Dove Nest
26609450h,Crosby Lodge
26617946h,Kenwith Castle
26684094h,"12 and 13, Warwick Road"
26685058h,15 Market End
26700322h,Hotel Omni Mont-Royal
26707727h,Hotel Santo Mauro
26723836h,De Gamlas Hem
26734729h,Conrad Istanbul Bosphorus
26878946h,Hilton Sukhumvit Bangkok
26902701h,Hilton Helsinki Kalastajatorppa
26960663h,Hampton by Hilton Bournemouth
27033712h,"The Morrison Dublin, Curio Collection by Hilton"
27456363h,DoubleTree by Hilton Gurugram Baani Square
2748565h,Claridge's
27825013h,Hilton Frankfurt City Centre
27826630h,DoubleTree by Hilton Hotel Cairns
278380h,The Drew Las Vegas
27962079h,Ausonia Palace Hotel
27981667h,Hilton Garden Inn Dubai Mall of the Emirates
28053246h,Hilton Auckland
28192892h,Waldorf Astoria Beijing
28214174h,Hampton by Hilton Newcastle
28456180h,Makkah Millennium Hotel
28609672h,DoubleTree by Hilton Hotel Coventry
28662736h,"Gran Vía 22, Madrid"
28675210h,Castle mill in Toruń
28675745h,15/17 Mostowa Street in Toruń
28680070h,Sanatório das Penhas da Saúde
28746397h,Hotel NH Paseo del Prado
28755991h,Hotel Catalonia Atocha
28756542h,Palacio Oriol
28756862h,Hotel Catalonia Gran Vía
28757120h,Gran Vía 18
28757959h,Hotel Senator Gran Vía
28757977h,Hotel Tryp Cibeles
28769024h,Hotel Gran Vía
28777988h,DoubleTree by Hilton Hotel Aberdeen Treetops
28789756h,Hilton Garden Inn Tanger City Center
28844857h,El Palace Hotel Barcelona
2899830h,Hilton The Hague
29000794h,DoubleTree by Hilton Hotel Darwin
29007102h,Papelera Española building
2902501h,Palatin Hotel Tel Aviv
29053655h,Hilton Paris Charles de Gaulle Airport
29053691h,Hilton Coylumbridge
2905596h,The Blackstone Hotel
2912992h,The Harmon
29415039h,Hotel Alay
2961297h,Chartreuse du Reposoir
29909111h,Hotel Alfonso X El Sabio
2992084h,Hilton Paris Opera
29948012h,DoubleTree by Hilton Hotel Edinburgh Airport
29981099h,Conrad Bali
30014678h,DoubleTree by Hilton Hotel Istanbul - Old Town
30021076h,Hilton Cologne
30021879h,DoubleTree by Hilton London Heathrow Airport
30035305h,Hilton Saint Petersburg ExpoForum
30047899h,Hilton Garden Inn Stuttgart NeckarPark
30090585h,Conrad Makkah
30097763h,"The Westminster London, Curio Collection by Hilton"
30097821h,Conrad Beijing
30139243h,Hilton Prague Old Town
30140581h,DoubleTree by Hilton Hotel Oradea
30147522h,Hilton Dubai Jumeirah
30174421h,Hilton Colombo Residences
30242708h,DoubleTree by Hilton Hotel Avanos - Cappadocia
30251296h,Hilton Garden Inn Matera
30277430h,Hilton Batumi
30301927h,Hampton by Hilton Bristol City Centre
30302746h,Hilton Brussels City
30306779h,Hilton Adelaide
30307361h,Hilton Hurghada Plaza
30308807h,Hilton Alexandria King's Ranch
30337433h,Hilton Garden Inn Volgograd
30346525h,Hilton Edinburgh Grosvenor
30347445h,DoubleTree by Hilton Hotel Milan
30402016h,Hilton Belfast
30407987h,DoubleTree by Hilton Hotel Wroclaw
30409284h,Hilton Vienna Park
30438998h,Hilton Dusseldorf
30504052h,DoubleTree by Hilton Hotel London - Marble Arch
30504754h,Hilton Nottingham
30522857h,Hilton Brussels Grand Place
30736107h,Hilton Imperial Dubrovnik
30927563h,Koriyama View Hotel Annex
