s,name
http://example.com/id/17534979h,5 and 7 High Street and Falcon Hotel Annexe
http://example.com/id/17544934h,Barton Seagrave Hall
http://example.com/id/17549646h,"2, 3 and 4, Regency Square"
http://example.com/id/17554574h,Fritton Old Hall
http://example.com/id/17557267h,11 Market End
http://example.com/id/17793480h,Hilton Edinburgh Carlton
http://example.com/id/17834531h,1 Tower Knowe
http://example.com/id/17834546h,"Hawick, 1 Tower Dykeside"
http://example.com/id/17834566h,"Hawick, 3, 4 Tower Dykeside"
http://example.com/id/17835167h,2 Tower Dykeside
http://example.com/id/18008489h,Torre del Remei
http://example.com/id/18112026h,DoubleTree by Hilton Hotel London - Chelsea
http://example.com/id/18286846h,Waldorf Astoria Amsterdam
http://example.com/id/18340195h,Hybernská 12
http://example.com/id/18509174h,Fayrouz Ressort
http://example.com/id/18509281h,Hilton Hurghada Resort
http://example.com/id/18536h,The Shard
http://example.com/id/18712428h,Makkah Clock Royal Tower Hotel
http://example.com/id/1879918h,Löwenburger Hof
http://example.com/id/18813051h,Hilton Rotterdam
http://example.com/id/19307691h,Hilton Garden Inn London Heathrow Airport
http://example.com/id/19348190h,"25, place Dauphine"
http://example.com/id/19362430h,Gasthof Krone
http://example.com/id/1943482h,Hilton Molino Stucky Venice
http://example.com/id/19962146h,CloudNo7
http://example.com/id/20046383h,Hilton Bonn
http://example.com/id/202599h,Stardust Resort and Casino
http://example.com/id/20650664h,La Clef Louvre
http://example.com/id/20828319h,Villa Santana
http://example.com/id/20830632h,Bluebeard's Castle
http://example.com/id/21402642h,18 Gramercy Park
http://example.com/id/2141411h,Hilton Bandung
http://example.com/id/21532003h,Radisson Blu Hotel in Bamako
http://example.com/id/21568919h,Tabacos de Filipinas building
http://example.com/id/21619228h,Sheraton Guiyang Hotel
http://example.com/id/22073967h,Hilton Bournemouth
http://example.com/id/22118627h,Global Gate
http://example.com/id/22583354h,Nový Pachtovský palác
http://example.com/id/22976715h,Hilton Dubai The Walk
http://example.com/id/22997753h,Bay Mills Resort & Casino
http://example.com/id/23265h,Hôtel des 3 Collèges
http://example.com/id/23305592h,"Kewadin Casino, Hotel and Convention Center"
http://example.com/id/23646439h,"100 Queen's Gate Hotel London, Curio Collection by Hilton"
http://example.com/id/23685988h,DoubleTree by Hilton Hotel Bristol North
http://example.com/id/23828028h,Edificio Gran Vía 4
http://example.com/id/23907594h,CAAC Tower
http://example.com/id/23907601h,The London NYC
http://example.com/id/2398831h,Teatro Eden
http://example.com/id/24054070h,Hilton Cambridge City Centre
http://example.com/id/24241038h,Cambridge Hotel
http://example.com/id/24708167h,"Dominican monastery in Malá Strana, Prague"
http://example.com/id/25007h,Bellagio Hotel & Casino
http://example.com/id/25204442h,Hilton Zurich Airport
http://example.com/id/2523683h,Château d'Artigny
http://example.com/id/2567200h,The Whittier
http://example.com/id/2579998h,Castle of Óbidos
http://example.com/id/26237391h,Conrad Tokyo
http://example.com/id/26242212h,Hilton Garden Inn Sunderland
http://example.com/id/26306764h,The Mytton and Mermaid Hotel
http://example.com/id/2631856h,520 West 41st Street
http://example.com/id/26398842h,The Old Hall Hotel
http://example.com/id/26463120h,13 Market End
http://example.com/id/26483035h,"14 and 15, Warwick Road"
http://example.com/id/26537718h,Dove Nest
http://example.com/id/26609450h,Crosby Lodge
http://example.com/id/26617946h,Kenwith Castle
http://example.com/id/26684094h,"12 and 13, Warwick Road"
http://example.com/id/26685058h,15 Market End
http://example.com/id/26700322h,Hotel Omni Mont-Royal
http://example.com/id/26707727h,Hotel Santo Mauro
http://example.com/id/26723836h,De Gamlas Hem
http://example.com/id/26734729h,Conrad Istanbul Bosphorus
http://example.com/id/26878946h,Hilton Sukhumvit Bangkok
http://example.com/id/26902701h,Hilton Helsinki Kalastajatorppa
http://example.com/id/26960663h,Hampton by Hilton Bournemouth
http://example.com/id/27033712h,"The Morrison Dublin, Curio Collection by Hilton"
http://example.com/id/27456363h,DoubleTree by Hilton Gurugram Baani Square
http://example.com/id/2748565h,Claridge's
http://example.com/id/27825013h,Hilton Frankfurt City Centre
http://example.com/id/27826630h,DoubleTree by Hilton Hotel Cairns
http://example.com/id/278380h,The Drew Las Vegas
http://example.com/id/27962079h,Ausonia Palace Hotel
http://example.com/id/27981667h,Hilton Garden Inn Dubai Mall of the Emirates
http://example.com/id/28053246h,Hilton Auckland
http://example.com/id/28192892h,Waldorf Astoria Beijing
http://example.com/id/28214174h,Hampton by Hilton Newcastle
http://example.com/id/28456180h,Makkah Millennium Hotel
http://example.com/id/28609672h,DoubleTree by Hilton Hotel Coventry
http://example.com/id/28662736h,"Gran Vía 22, Madrid"
http://example.com/id/28675210h,Castle mill in Toruń
http://example.com/id/28675745h,15/17 Mostowa Street in Toruń
http://example.com/id/28680070h,Sanatório das Penhas da Saúde
http://example.com/id/28746397h,Hotel NH Paseo del Prado
http://example.com/id/28755991h,Hotel Catalonia Atocha
http://example.com/id/28756542h,Palacio Oriol
http://example.com/id/28756862h,Hotel Catalonia Gran Vía
http://example.com/id/28757120h,Gran Vía 18
http://example.com/id/28757959h,Hotel Senator Gran Vía
http://example.com/id/28757977h,Hotel Tryp Cibeles
http://example.com/id/28769024h,Hotel Gran Vía
http://example.com/id/28777988h,DoubleTree by Hilton Hotel Aberdeen Treetops
http://example.com/id/28789756h,Hilton Garden Inn Tanger City Center
http://example.com/id/28844857h,El Palace Hotel Barcelona
http://example.com/id/2899830h,Hilton The Hague
http://example.com/id/29000794h,DoubleTree by Hilton Hotel Darwin
http://example.com/id/29007102h,Papelera Española building
http://example.com/id/2902501h,Palatin Hotel Tel Aviv
http://example.com/id/29053655h,Hilton Paris Charles de Gaulle Airport
http://example.com/id/29053691h,Hilton Coylumbridge
http://example.com/id/2905596h,The Blackstone Hotel
http://example.com/id/2912992h,The Harmon
http://example.com/id/29415039h,Hotel Alay
http://example.com/id/2961297h,Chartreuse du Reposoir
http://example.com/id/29909111h,Hotel Alfonso X El Sabio
http://example.com/id/2992084h,Hilton Paris Opera
http://example.com/id/29948012h,DoubleTree by Hilton Hotel Edinburgh Airport
http://example.com/id/29981099h,Conrad Bali
http://example.com/id/30014678h,DoubleTree by Hilton Hotel Istanbul - Old Town
http://example.com/id/30021076h,Hilton Cologne
http://example.com/id/30021879h,DoubleTree by Hilton London Heathrow Airport
http://example.com/id/30035305h,Hilton Saint Petersburg ExpoForum
http://example.com/id/30047899h,Hilton Garden Inn Stuttgart NeckarPark
http://example.com/id/30090585h,Conrad Makkah
http://example.com/id/30097763h,"The Westminster London, Curio Collection by Hilton"
http://example.com/id/30097821h,Conrad Beijing
http://example.com/id/30139243h,Hilton Prague Old Town
http://example.com/id/30140581h,DoubleTree by Hilton Hotel Oradea
http://example.com/id/30147522h,Hilton Dubai Jumeirah
http://example.com/id/30174421h,Hilton Colombo Residences
http://example.com/id/30242708h,DoubleTree by Hilton Hotel Avanos - Cappadocia
http://example.com/id/30251296h,Hilton Garden Inn Matera
http://example.com/id/30277430h,Hilton Batumi
http://example.com/id/30301927h,Hampton by Hilton Bristol City Centre
http://example.com/id/30302746h,Hilton Brussels City
http://example.com/id/30306779h,Hilton Adelaide
http://example.com/id/30307361h,Hilton Hurghada Plaza
http://example.com/id/30308807h,Hilton Alexandria King's Ranch
http://example.com/id/30337433h,Hilton Garden Inn Volgograd
http://example.com/id/30346525h,Hilton Edinburgh Grosvenor
http://example.com/id/30347445h,DoubleTree by Hilton Hotel Milan
http://example.com/id/30402016h,Hilton Belfast
http://example.com/id/30407987h,DoubleTree by Hilton Hotel Wroclaw
http://example.com/id/30409284h,Hilton Vienna Park
http://example.com/id/30438998h,Hilton Dusseldorf
http://example.com/id/30504052h,DoubleTree by Hilton Hotel London - Marble Arch
http://example.com/id/30504754h,Hilton Nottingham
http://example.com/id/30522857h,Hilton Brussels Grand Place
http://example.com/id/30736107h,Hilton Imperial Dubrovnik
http://example.com/id/30927563h,Koriyama View Hotel Annex
http://example.com/id/30946698h,Hilton Garden Inn Hong Kong Mongkok
http://example.com/id/31277862h,Hilton Tallinn Park
http://example.com/id/3142395h,Hyatt Regency Paris Etoile
http://example.com/id/31827676h,U zlatého anděla
http://example.com/id/31861463h,"Krajinská 41, Zátkův dům"
http://example.com/id/3192583h,Kanayama Minami Building
http://example.com/id/3278286h,Main Street Station Hotel and Casino and Brewery
http://example.com/id/3281025h,APA Hotel & Resort Tokyo Bay Makuhari
http://example.com/id/32947262h,Hilton Garden Inn New Delhi/Saket
http://example.com/id/33035435h,DoubleTree by Hilton Hotel Istanbul - Moda
http://example.com/id/33101471h,DoubleTree by Hilton Hotel Cluj - City Plaza
http://example.com/id/33189243h,Feuerschiff
http://example.com/id/33229354h,Hilton London Croydon
http://example.com/id/33382454h,DoubleTree by Hilton Hotel Melbourne - Flinders Street
http://example.com/id/3356472h,The Orleans
http://example.com/id/3533060h,Tour Duo
http://example.com/id/3545225h,"Sam's Town Hotel and Gambling Hall, Las Vegas"
http://example.com/id/37857517h,Hampton by Hilton Birmingham Jewellery Quarter
http://example.com/id/37858337h,Hampton by Hilton Glasgow Central
http://example.com/id/37858682h,DoubleTree by Hilton Hotel Leeds City Centre
http://example.com/id/38251391h,3 V Tourist Court
http://example.com/id/40037779h,Dämman
http://example.com/id/41069183h,Hilton Amsterdam Airport Schiphol
http://example.com/id/41300192h,Hilton Pyramids Golf
http://example.com/id/42341625h,DoubleTree by Hilton Hotel London - Hyde Park
http://example.com/id/4261094h,Downtown Grand Hotel & Casino
http://example.com/id/4261374h,Suncoast Hotel and Casino
http://example.com/id/42748124h,Shah Abbasi Caravanserai of Abuzeydabad
http://example.com/id/42867978h,Tehrani House (Yazd)
http://example.com/id/42874514h,Golshan House (Yazd)
http://example.com/id/43031921h,Corona Hotel in Baia Sprie
http://example.com/id/4385582h,Page-Walker Hotel
http://example.com/id/4448816h,Tsukuba Center Building
http://example.com/id/45316350h,DoubleTree by Hilton Hotel Edinburgh City Centre
http://example.com/id/45472344h,Hilton Tanger City Center Hotel & Residences
http://example.com/id/4596016h,1 Snow Hill Plaza
http://example.com/id/47166648h,Palau Benet-Desvilar
http://example.com/id/4725573h,Aliante Casino and Hotel
http://example.com/id/47401774h,Conrad Bora Bora Nui
http://example.com/id/47518776h,Millennium Hilton Bangkok
http://example.com/id/47902573h,Schloss Kölzow
http://example.com/id/4791273h,Arizona Charlie's Boulder
http://example.com/id/49393251h,DoubleTree by Hilton Hotel Kuala Lumpur
http://example.com/id/49573628h,Hilton Cabo Verde Sal Resort
http://example.com/id/49593283h,Breite Straße 19
http://example.com/id/49593839h,Friedrichplatz 8
http://example.com/id/49594143h,Kurstraße 6
http://example.com/id/49595033h,Schloßstraße 5
http://example.com/id/49807274h,Hilton London Bankside
http://example.com/id/4993716h,Castle of Alvito
http://example.com/id/4999251h,Burlington Hotel
http://example.com/id/50308536h,DoubleTree by Hilton Hotel Dubai - Jumeirah Beach
http://example.com/id/50353048h,Hilton Istanbul Bomonti Hotel & Conference Center
http://example.com/id/50356312h,Hotel Palace of Valencia
http://example.com/id/5049621h,Castaways Hotel and Casino
http://example.com/id/5049734h,Castle of Alcácer do Sal
http://example.com/id/5049843h,Castle of Vila Nova de Cerveira
http://example.com/id/50611971h,Hampton by Hilton London Gatwick Airport
http://example.com/id/50809149h,Hilton Astana
http://example.com/id/50841764h,Hilton York
http://example.com/id/51025456h,Hilton Garden Inn Florence Novoli
http://example.com/id/51222702h,H10 Berlin Ku'damm
http://example.com/id/51824364h,Hilton London Kensington
http://example.com/id/51918515h,Hilton Cairns
http://example.com/id/52886668h,"Rome Cavalieri, A Waldorf Astoria Hotel"
http://example.com/id/53632218h,DoubleTree by Hilton Hotel London ExCel
http://example.com/id/53806946h,Convento do Salvador
http://example.com/id/53881282h,Palacete do Chafariz d'El-Rei
http://example.com/id/53999203h,Hilton Niseko Village
http://example.com/id/5430586h,Hilton Cairo Heliopolis
http://example.com/id/54474974h,Companhia de Moagens Harmonia
http://example.com/id/54475112h,Quinta da Pacheca
http://example.com/id/54475217h,NH Collection Porto Batalha
http://example.com/id/54475224h,Moov Hotel Porto Centro
http://example.com/id/546221h,Trump International Hotel and Tower
http://example.com/id/54652699h,DoubleTree Resort by Hilton Penang
http://example.com/id/5472556h,Forte de São Sebastião
http://example.com/id/5475490h,"Four Seasons Hotel building, San Francisco"
http://example.com/id/5475499h,Four Seasons Hotel Chicago
http://example.com/id/55185046h,Sint-Antonius van Paduakerk
http://example.com/id/55346142h,Convent of the Capuchinos
http://example.com/id/55865629h,Hampton by Hilton Liverpool City Centre
http://example.com/id/5594050h,Hotel Gran Meliá Don Pepe
http://example.com/id/5594866h,"Grand Palace Hotel, New Orleans"
http://example.com/id/5595660h,Brampton Grange
http://example.com/id/56027180h,former station for biology Plön
http://example.com/id/56071855h,DoubleTree by Hilton Hotel & Spa Liverpool
http://example.com/id/56084920h,Clayton Crown Hotel
http://example.com/id/56085005h,Clayton Hotel Chiswick
http://example.com/id/56085020h,Clayton Hotel Leeds
http://example.com/id/56085053h,Clayton Hotel Birmingham
http://example.com/id/56085075h,Clayton Hotel Belfast
http://example.com/id/56150916h,Clayton Hotel Cardiff
http://example.com/id/56194854h,Hilton Garden Inn Orenburg
http://example.com/id/56214797h,Hilton Garden Inn Novorossiysk
http://example.com/id/56446735h,Hilton Beijing Capital Airport
http://example.com/id/5646336h,Hampton by Hilton Liverpool/John Lennon Airport
http://example.com/id/56478942h,Hilton Kuwait Resort
http://example.com/id/56522910h,"Grand Hotel des Sablettes Plage, Curio Collection by Hilton"
http://example.com/id/56598554h,Canopy by Hilton Reykjavik City Centre
http://example.com/id/56651595h,Clayton Hotel Charlemont
http://example.com/id/56705491h,"former Hotel Castilla, Toledo"
http://example.com/id/56711100h,Edifício A Tarde
http://example.com/id/56827407h,Hilton Garden Inn Puchong
http://example.com/id/5683588h,Malek al-Tojar House (Yazd)
http://example.com/id/5705250h,Guged Caravanserai
http://example.com/id/5710559h,Paasitorni
http://example.com/id/57297679h,"Gran Vía 74, Madrid"
http://example.com/id/57385878h,Hampton by Hilton London Luton Airport
http://example.com/id/57613527h,Palazzo Montemartini
http://example.com/id/5764637h,Hilton Liverpool City Centre
http://example.com/id/5764652h,DoubleTree by Hilton Hotel Luxembourg
http://example.com/id/5764716h,Safir Sharm Waterfalls Resort
http://example.com/id/57739907h,Conrad Xiamen
http://example.com/id/5785660h,Convento Dominico de Nuestra Señora de la Consolación
http://example.com/id/58069409h,Hampton by Hilton Samara
http://example.com/id/58086658h,Hilton Garden Inn Ufa Riverside
http://example.com/id/58229015h,DoubleTree by Hilton Hotel Girona
http://example.com/id/5878173h,Malekzadeh House (Yazd)
http://example.com/id/5883194h,Qorban Alizadeh House
http://example.com/id/5884157h,Khoshnevis Mansion
http://example.com/id/5885917h,Kasra Vafadari House
http://example.com/id/5891776h,Moshir Garden
http://example.com/id/5892374h,Moshir Caravanserai
http://example.com/id/5894717h,Dr. Hojjat House
http://example.com/id/5901285h,Alafchian House
http://example.com/id/5903404h,Hotel Málaga Palacio
