s,museum_name,country_name
http://example.com/id/113137580m,Otford Heritage Centre,United Kingdom
http://example.com/id/113170802m,National Trust of Guernsey Folk and Costume Museum,United Kingdom
http://example.com/id/113206434m,Marton Museum of Country Bygones,United Kingdom
http://example.com/id/113206529m,Wygstons House Museum of Costume,United Kingdom
http://example.com/id/113206897m,Harveys Sherry Museum,United Kingdom
http://example.com/id/113207227m,Whitchurch Heritage Centre,United Kingdom
http://example.com/id/113207317m,The Time Machine Museum of Science Fiction,United Kingdom
http://example.com/id/113207895m,Fred Dibnah Heritage Centre,United Kingdom
http://example.com/id/113207941m,Whitby Jet Heritage Centre,United Kingdom
http://example.com/id/113207964m,RNCM Collection of Historic Musical Instruments,United Kingdom
http://example.com/id/113261202m,Museum of The Home,United Kingdom
http://example.com/id/113261802m,Fans Museum,United Kingdom
http://example.com/id/113262389m,Newhaven Museum,United Kingdom
http://example.com/id/113262647m,Totnes Motor Museum,United Kingdom
http://example.com/id/113263582m,Wirral Museum,United Kingdom
http://example.com/id/113263676m,Carnegie Inverurie Museum,United Kingdom
http://example.com/id/113263686m,St Annes Chapel and Old Grammar School Museum,United Kingdom
http://example.com/id/113263701m,Greenwich Borough Museum,United Kingdom
http://example.com/id/113263756m,Military Museum Scotland,United Kingdom
http://example.com/id/113263766m,Richmond Castle Museum,United Kingdom
http://example.com/id/113280054m,Macgillivray Centre,United Kingdom
http://example.com/id/113280070m,Ty Ebbw Fach Heritage Centre,United Kingdom
http://example.com/id/113292368m,Lowestoft Museum,United Kingdom
http://example.com/id/113296096m,Orford Museum,United Kingdom
http://example.com/id/113296113m,Lanman Museum,United Kingdom
http://example.com/id/113296169m,Ramsgate Museum,United Kingdom
http://example.com/id/113296183m,Ramsgate Motor Museum,United Kingdom
http://example.com/id/113296230m,Ramsgate Tunnels,United Kingdom
http://example.com/id/113296519m,Kings Own Yorkshire Light Infantry Museum,United Kingdom
http://example.com/id/113297025m,Brander Museum,United Kingdom
http://example.com/id/113308069m,Yesterdays World,United Kingdom
http://example.com/id/113308077m,Royal Naval Patrol Service Association Museum,United Kingdom
http://example.com/id/113308191m,Maritime Museum for East Anglia,United Kingdom
http://example.com/id/113308220m,Louis Tussauds House Of Wax Museum,United Kingdom
http://example.com/id/113308731m,Martham Countryside Collection,United Kingdom
http://example.com/id/113308901m,William Clowes Printing Museum,United Kingdom
http://example.com/id/113308981m,The Red House,United Kingdom
http://example.com/id/113309405m,Sotterley Agricultural Museum,United Kingdom
http://example.com/id/113309437m,Wind Energy Museum,United Kingdom
http://example.com/id/113309473m,Beccles and District Museum,United Kingdom
http://example.com/id/113309519m,Sutton Windmill & Broads Museum,United Kingdom
http://example.com/id/113309657m,Middlesbrough Art Gallery,United Kingdom
http://example.com/id/113309705m,Cleveland Crafts Centre,United Kingdom
http://example.com/id/113309969m,Suffolk Underwater Studies Museum,United Kingdom
http://example.com/id/113310082m,Stalham Firehouse Museum,United Kingdom
