p_id,c_id
733389w,38w
12352436w,1028w
14230458w,148w
15238169w,183w
15260680w,145w
15278408w,1049w
15933552w,408w
15980181w,159w
16333723w,225w
16912957w,884w
16912647w,214w
16913154w,38w
16914686w,148w
17132271w,41w
64705007w,43w
64705254w,43w
65062995w,695w
66023623w,794w
105973249w,1016w
65531637w,419w
65531667w,419w
65531696w,419w
65538478w,155w
65643516w,262w
97288567w,29w
841896w,794w
843147w,1009w
875783w,148w
910180w,148w
1074330w,668w
1286650w,148w
12257209w,29w
12283322w,219w
12293430w,219w
12614441w,884w
12747162w,43w
14223008w,1000w
15958566w,1008w
112132576w,298w
829084w,20w
844427w,668w
867586w,810w
15725130w,869w
16363506w,41w
16735627w,38w
16910825w,399w
16921416w,145w
16946966w,822w
17117941w,213w
17163308w,38w
17208861w,17w
38167074w,408w
39081159w,29w
47496765w,230w
1194818w,148w
1203429w,17w
1203756w,17w
1243513w,218w
973175w,17w
975227w,17w
1818746w,424w
2233532w,142w
2605019w,668w
695229w,668w
740104w,398w
4204534w,159w
5762131w,96w
6744547w,258w
6744547w,1013w
8343756w,419w
8343761w,155w
12269990w,20w
15107508w,34w
15278460w,408w
917429w,954w
917195w,17w
928218w,29w
20492324w,29w
21727670w,159w
21890658w,408w
22427665w,29w
22960555w,142w
22960755w,142w
22969940w,29w
22997458w,142w
24199776w,96w
24811859w,668w
25479419w,29w
27192240w,114w
27832258w,29w
27989168w,159w
28171838w,668w
28173467w,668w
29583898w,39w
29583976w,39w
30775238w,229w
30890812w,159w
31082615w,225w
42597079w,948w
43090204w,29w
958987w,29w
960301w,29w
975257w,142w
976534w,29w
984315w,858w
986104w,29w
4925892w,869w
4943787w,258w
5175125w,218w
5269314w,843w
5352180w,800w
5371879w,148w
5776828w,29w
5835617w,29w
5849431w,17w
5909295w,29w
5909702w,29w
735914w,148w
508634w,668w
575398w,664w
16256171w,423w
16564811w,414w
16735831w,218w
16801493w,55w
16892306w,878w
16962666w,38w
17029168w,148w
17212161w,17w
17586690w,29w
17642650w,145w
17645080w,145w
18122850w,29w
18222399w,38w
18481466w,29w
19407129w,225w
19407132w,225w
19608534w,29w
19883347w,29w
20056027w,29w
5920w,183w
19826w,38w
19844w,38w
19854w,38w
19865w,38w
2707216w,45w
3197288w,35w
18785988w,159w
28827968w,142w
38283757w,41w
47519282w,159w
47531644w,29w
61122251w,214w
64401449w,142w
64559620w,28w
1333330w,17w
1503858w,928w
1779992w,34w
1974274w,258w
1000054w,38w
1018764w,41w
1050324w,159w
1051458w,159w
1076650w,148w
1133155w,29w
5910248w,29w
5910991w,29w
5910998w,29w
5911123w,29w
5912508w,29w
6021357w,29w
6060756w,29w
6076294w,96w
6091346w,29w
6838482w,858w
6878730w,30w
6925405w,148w
6961477w,423w
7455207w,155w
6058532w,29w
65519524w,30w
65643514w,262w
65643543w,262w
65643579w,262w
65643584w,262w
65827845w,79w
65894816w,1005w
65921508w,912w
65944719w,948w
65953845w,889w
65953991w,398w
65953999w,398w
65954046w,398w
65954047w,398w
65965433w,148w
65967124w,148w
65980157w,148w
65981313w,148w
65998811w,668w
66000313w,668w
66000320w,668w
66023671w,794w
66023672w,794w
66050836w,29w
66051676w,148w
66051686w,148w
66057934w,794w
66057936w,794w
66057947w,794w
66057597w,252w
66057637w,155w
66087933w,17w
66089898w,17w
66108561w,17w
66111213w,17w
66124353w,17w
66124358w,17w
66124356w,17w
66124371w,17w
66132610w,819w
66132615w,819w
66133293w,711w
66133764w,423w
66134050w,842w
66134054w,842w
66134055w,842w
66134818w,843w
66134824w,843w
66145738w,851w
66145751w,851w
66145755w,851w
66197431w,884w
66197443w,884w
66197770w,884w
66207409w,878w
97287426w,29w
97287432w,29w
97631478w,29w
97688671w,29w
98075634w,29w
106582835w,29w
106583039w,29w
106594051w,29w
106599145w,29w
106602760w,29w
1292442w,33w
1333799w,17w
1544213w,668w
1551511w,159w
1571825w,15180w
1571825w,232w
1580915w,408w
1622717w,265w
1628962w,408w
19164w,159w
19834w,38w
34102w,38w
1637487w,29w
1650229w,41w
1739604w,142w
2015257w,842w
2250035w,183w
2397751w,424w
2592613w,212w
3847588w,1028w
61092w,833w
980697w,17w
1001352w,223w
106978480w,29w
107558402w,55w
108040340w,145w
7461w,159w
10288w,41w
11471921w,17w
11489009w,17w
11526304w,17w
11680154w,29w
11858823w,1028w
12286590w,219w
12294132w,219w
12385484w,29w
12598929w,884w
12621501w,884w
12808050w,215w
13586340w,36w
14547532w,39w
15224654w,155w
15234037w,668w
15788327w,29w
15950767w,142w
64812606w,183w
64812614w,183w
64812619w,183w
64812628w,183w
64812676w,183w
64816699w,145w
64816703w,145w
64816710w,145w
64822107w,183w
64850759w,29w
64851284w,29w
64860916w,29w
64957752w,29w
64981678w,29w
64987067w,29w
64987101w,29w
64987120w,29w
64987125w,29w
64987135w,29w
65011754w,38w
65028370w,38w
65028377w,38w
65029145w,38w
65099455w,408w
65100027w,408w
65100040w,408w
65100047w,408w
65131797w,774w
65336432w,96w
65494659w,96w
65498846w,96w
65498958w,96w
65499860w,96w
65519440w,30w
65531296w,414w
65531383w,414w
65531387w,414w
65531396w,414w
65531448w,298w
65531498w,298w
65531606w,419w
65531610w,419w
65531622w,419w
826551w,928w
829469w,29w
832278w,38w
192666w,36w
192666w,184w
46850w,159w
20970631w,29w
20984986w,29w
21013553w,29w
21235310w,38w
21639711w,159w
21855839w,29w
21855939w,29w
22688967w,851w
22997451w,142w
24266864w,96w
26133052w,29w
26738930w,29w
26874366w,29w
27876724w,155w
28495970w,34w
28667548w,159w
28690431w,17w
29583881w,40w
29583895w,39w
29583894w,183w
29583927w,183w
29583925w,215w
29583950w,38w
29583960w,38w
29583967w,39w
29583975w,183w
29786328w,258w
29984838w,29w
30329293w,29w
30593786w,17w
1366015w,733w
1390044w,35w
1395364w,869w
1449217w,38w
1366015w,200464w
1472544w,38w
1505731w,29w
1539707w,96w
1540402w,29w
7844773w,215w
7912912w,668w
8348804w,29w
8564779w,145w
8987623w,39w
9093955w,29w
10395953w,155w
10661422w,215w
10682441w,33w
10684553w,33w
10856210w,17w
10893414w,148w
11141966w,148w
11259430w,17w
11275423w,17w
11462859w,17w
11479972w,17w
11562956w,17w
11682867w,29w
11747061w,36w
84090w,38w
84090w,237w
956438w,29w
957628w,794w
1863008w,55w
1881045w,55w
1884030w,31w
1885375w,148w
1894197w,408w
1902867w,142w
1971197w,31w
1996107w,142w
2037692w,801w
18986w,43w
241074w,155w
748211w,213w
11437550w,17w
134140w,79w
165414w,183w
213507w,912w
216862w,233w
5410477w,29w
16159057w,29w
16159106w,29w
64590253w,55w
64640311w,213w
16023611w,148w
16092526w,884w
16159066w,29w
16190027w,29w
16518089w,29w
16612568w,38w
16988075w,213w
17061201w,148w
17134727w,252w
17209498w,17w
17468047w,55w
17675628w,145w
18219497w,29w
18481023w,155w
18539090w,218w
18539306w,218w
18808444w,145w
18811512w,55w
19598169w,29w
20016795w,29w
20492603w,29w
20687839w,148w
1269931w,965w
1306513w,928w
1347586w,38w
1362629w,17w
5715w,79w
106656249w,29w
106662058w,29w
106675881w,29w
106686028w,29w
500720w,298w
501093w,298w
500061w,148w
38411w,17w
46772w,142w
80290w,148w
178813w,1747689w
4399w,794w
2587975w,142w
2598094w,38w
2603171w,142w
2677973w,31w
2721458w,38w
2746626w,252w
175874w,29w
180773w,128904w
180773w,389688w
82859w,805w
63465w,17w
210065w,796w
43018w,43w
1766106w,668w
1765200w,29w
1774129w,142w
4460w,794w
4531w,794w
35972957w,38w
38298558w,96w
43082238w,29w
43113954w,29w
43115131w,29w
43117096w,29w
43151292w,29w
43158372w,29w
2028w,38w
333984w,142w
379080w,114w
464936w,43w
19840w,38w
106762863w,29w
106771257w,29w
106772451w,29w
106783044w,29w
106786152w,29w
106786705w,29w
106840233w,29w
106872771w,29w
106872950w,29w
106898202w,29w
106898201w,29w
106899685w,29w
106916343w,29w
106916911w,29w
106938050w,29w
106940602w,29w
106940603w,29w
106942586w,29w
106964155w,29w
106977892w,29w
106978315w,29w
473144w,750w
484458w,889w
477578w,219060w
190165w,819w
43128571w,29w
43131035w,29w
43147131w,29w
43151410w,29w
43152049w,29w
43152720w,29w
106620816w,29w
106631628w,29w
106634950w,29w
106642435w,29w
106653028w,29w
106660678w,29w
106665234w,29w
106675651w,29w
106675769w,29w
106676005w,29w
106685342w,29w
106731858w,29w
106754827w,29w
106756749w,29w
106757837w,29w
48153w,241w
61094w,17w
9213w,837w
206823w,142w
213188w,1005w
66485w,668w
29223w,79w
41451w,664w
45957w,668w
826118w,842w
828125w,28w
828212w,16w
828212w,30w
2094962w,142w
2112214w,55w
2194026w,142w
2223706w,29w
2227225w,34w
2237185w,142w
2383410w,96w
2384313w,114w
25495w,842w
36160w,881w
46275w,664w
117623w,843w
142874w,159w
193989w,20w
48108w,241w
155414w,29w
173837w,965w
184284w,258w
188528w,225w
207870w,29w
207945w,219w
242711w,212w
252814w,30w
199234w,142w
205558w,214w
213439w,30w
211778w,145w
189657w,408w
289427w,38w
334217w,142w
338834w,183w
384463w,218w
2392766w,159w
2423095w,34w
2470882w,29w
2483434w,55w
2498312w,17w
2506967w,38w
2561858w,794w
656334w,38w
662563w,36w
663764w,36w
664346w,39w
664706w,39w
695880w,183w
2752664w,31w
2796994w,928w
2800964w,55w
2887144w,948w
2886966w,142w
2887024w,142w
2888517w,800w
2893751w,31w
17645057w,145w
20100446w,29w
43117484w,29w
43147638w,29w
108040854w,38w
108041326w,215w
108076652w,1008w
231606w,29w
250015w,213w
250880w,40w
929491w,29w
962846w,41w
65007945w,38w
65016570w,38w
65016568w,38w
65028346w,38w
65028374w,38w
65099449w,408w
65099458w,408w
65099472w,408w
65100043w,408w
65122815w,241w
65132454w,774w
65133194w,774w
65337340w,96w
65465076w,96w
65494791w,96w
65498914w,96w
65520095w,30w
65531462w,298w
65531481w,298w
65531567w,736w
65531565w,736w
65531575w,736w
65531589w,419w
65531630w,419w
65531643w,419w
65531657w,419w
65531660w,419w
65531674w,419w
65531685w,419w
65559536w,155w
257473w,17w
272781w,45w
2315050w,159w
64758789w,159w
64759155w,159w
64759330w,159w
64759461w,159w
64759472w,159w
64760186w,159w
64760359w,159w
64760389w,159w
64761223w,159w
64769498w,159w
64797735w,711w
64797735w,159w
64798202w,159w
64812009w,183w
64812014w,183w
64812024w,183w
64812066w,183w
64812101w,183w
64812131w,183w
64812149w,183w
64812152w,183w
64812169w,183w
64812187w,183w
64812201w,183w
64812227w,183w
64812224w,183w
64812230w,183w
64812262w,183w
64812319w,183w
64812342w,183w
64812367w,183w
64812381w,183w
64812401w,183w
64812410w,183w
64812464w,183w
64812473w,183w
64812544w,183w
64812576w,183w
64812645w,183w
64812651w,183w
64812662w,183w
64816700w,145w
64816709w,145w
64821668w,183w
64830377w,142w
64830383w,142w
64830453w,142w
64850631w,29w
64850834w,29w
64861226w,29w
64960063w,29w
64987064w,29w
64987072w,29w
64987085w,29w
132564w,41w
501126w,298w
507076w,145w
514069w,38w
520112w,29w
522862w,79w
11143662w,148w
106634990w,29w
106635102w,29w
106641994w,29w
106642251w,29w
106676173w,29w
106731041w,29w
106753306w,29w
106753737w,29w
106755785w,29w
106770952w,29w
106771182w,29w
106774292w,29w
106774541w,29w
106775073w,29w
106782834w,29w
106783018w,29w
106840049w,29w
106872242w,29w
106886064w,29w
106890034w,29w
222501w,142w
257513w,29w
277389w,224w
281856w,31w
302975w,38w
333661w,30w
43148765w,29w
43148809w,29w
43176844w,29w
47001746w,148w
47915816w,218w
48815268w,17w
48911227w,148w
50810144w,889w
55264662w,1028w
55281523w,252w
56702873w,29w
56702878w,29w
56762073w,29w
56762079w,29w
56762080w,29w
56762110w,29w
56791714w,29w
56791723w,29w
56791730w,29w
56824907w,29w
56824911w,29w
56824912w,29w
56824917w,29w
931434w,38w
106831541w,29w
106839138w,29w
167231w,183w
176792w,668w
187136w,148w
107370w,189w
130321w,41w
712335w,804w
807733w,183w
58641825w,29w
58889640w,17w
64399663w,142w
64449926w,184w
64485200w,29w
64485230w,215w
64485228w,215w
64485232w,215w
64495118w,403w
64520531w,20w
64520670w,20w
64533646w,159w
64533646w,212w
64559952w,28w
64590476w,35w
64590476w,55w
64590476w,183w
64606197w,40w
64637410w,213w
64692249w,33w
64705218w,43w
64705220w,43w
64705295w,43w
64705500w,43w
64759344w,159w
64760203w,159w
64761112w,159w
64769537w,159w
64797637w,159w
64809868w,145w
64819261w,145w
64819264w,145w
64821767w,183w
64821775w,183w
64822164w,183w
64822254w,183w
64822260w,183w
64824464w,213w
64828708w,142w
231140w,17w
234600w,878w
155443w,29w
155587w,159w
550252w,142w
555083w,29w
564822w,29w
587371w,17w
593411w,843w
623807w,884w
64987088w,29w
64987089w,29w
64987094w,29w
64987110w,29w
64987113w,29w
64987122w,29w
64987134w,29w
64987143w,29w
65011735w,38w
65015905w,38w
65028310w,38w
65028373w,38w
65051038w,30w
65099433w,408w
65100023w,408w
65100030w,408w
65121887w,241w
65132141w,774w
65337883w,96w
65460598w,96w
65465016w,96w
65494372w,96w
65494839w,96w
65497402w,96w
65497561w,96w
65497959w,96w
65498229w,96w
65498308w,96w
65498535w,96w
65531376w,414w
65531438w,298w
65531421w,750w
65531457w,298w
65531460w,298w
65531571w,736w
837991w,148w
841207w,41w
849517w,403w
208177w,34w
463735w,668w
464588w,183w
464588w,1747689w
460367w,17w
64759346w,159w
64760312w,159w
64760338w,159w
64787202w,159w
64811631w,145w
64811647w,145w
64811651w,145w
64811671w,145w
64811676w,145w
64811699w,145w
64811726w,145w
64811744w,145w
64811780w,145w
64811784w,145w
64811805w,145w
64811829w,145w
64811862w,145w
64811893w,145w
64811914w,145w
64811922w,183w
64811962w,183w
64811981w,183w
64812006w,183w
64812016w,183w
64812040w,183w
64812077w,183w
64812089w,183w
64812095w,183w
64812109w,183w
64812118w,183w
64812157w,183w
64812163w,183w
64812166w,183w
64812184w,183w
64812247w,183w
64812253w,183w
64812258w,183w
64812339w,183w
64812375w,183w
64812415w,183w
64812429w,183w
64812452w,183w
64812460w,183w
64812517w,183w
64812657w,183w
64816708w,145w
64822096w,183w
64822301w,183w
64830381w,142w
64850516w,29w
64850723w,29w
64981674w,29w
64987070w,29w
64987086w,29w
64987099w,29w
64987096w,29w
64987097w,29w
64987107w,29w
64987104w,29w
64987119w,29w
64987138w,29w
65531577w,419w
65531580w,419w
65531601w,419w
65531608w,419w
65531624w,419w
65531655w,419w
65531662w,419w
65531699w,419w
911970w,17w
916943w,668w
661752w,183w
663110w,39w
670092w,142w
675482w,148w
698448w,423w
701620w,17w
206219w,881w
206365w,38w
625586w,884w
626306w,884w
635199w,241w
638445w,212w
643026w,96w
4074487w,159w
4086016w,31w
4124195w,159w
4241666w,159w
4310021w,31w
4425586w,159w
4783879w,668w
5050352w,241w
5054954w,29w
5117160w,29w
5156589w,43w
5207638w,218w
5742377w,29w
5785943w,29w
5812486w,29w
5853068w,96w
5870690w,794w
384966w,38w
389210w,29w
1618277w,183w
17663113w,145w
20053321w,115w
64759347w,159w
64759345w,159w
64759956w,159w
64760162w,159w
64798100w,159w
64811684w,145w
64811690w,145w
64811703w,145w
64811716w,145w
64811741w,145w
64811778w,145w
64811851w,145w
64811849w,145w
64811876w,145w
64811901w,145w
64811909w,145w
64811932w,183w
64811959w,183w
64811983w,183w
64811991w,183w
64811988w,183w
64812033w,183w
64812058w,183w
64812075w,183w
64812082w,183w
64812113w,183w
64812127w,183w
64812136w,183w
64812182w,183w
64812190w,183w
64812233w,183w
64812280w,183w
64812285w,183w
64812335w,183w
64812395w,183w
64812501w,183w
64812510w,183w
64812533w,183w
64812562w,183w
106860601w,29w
106888013w,29w
106888777w,29w
106900415w,29w
106900416w,29w
106906739w,29w
106920678w,29w
106957989w,29w
106977839w,29w
303806w,33w
311341w,851w
318338w,733w
318338w,200464w
524956w,408w
525226w,183w
532466w,183w
555011w,29w
577372w,17w
532466w,1747689w
733344w,408w
734970w,30w
739802w,218w
775487w,159w
2152707w,79w
643715w,96w
653180w,17w
657882w,29w
478471w,117w
489260w,38w
284340w,214w
286426w,1049w
322287w,224w
13548161w,229w
15135455w,39w
15824602w,183w
16094566w,884w
16159046w,29w
16190015w,29w
16190022w,29w
16191687w,29w
16488677w,29w
16564814w,414w
16565564w,96w
16743875w,218w
16746430w,218w
969047w,403w
980694w,223w
999109w,408w
1012965w,29w
17645070w,145w
17645222w,145w
17650782w,145w
25212971w,223w
25990503w,29w
43148160w,29w
43148799w,29w
49641137w,17w
50934439w,222w
54820889w,29w
55588235w,38w
56233508w,29w
106781931w,29w
106839655w,29w
106839937w,29w
106840524w,29w
106873800w,29w
106874891w,29w
106882028w,29w
106889902w,29w
607668w,912w
618020w,218w
631051w,29w
648119w,159w
649055w,142w
651323w,16w
1414691w,17w
1436503w,183w
1493439w,668w
1538637w,159w
1570913w,183w
1579525w,399w
106603794w,29w
106614093w,29w
106627305w,29w
106627334w,29w
106627478w,29w
106634894w,29w
106653770w,29w
106899688w,29w
106899689w,29w
106901411w,29w
106906740w,29w
106908180w,29w
106920052w,29w
106920675w,29w
106922412w,29w
106925993w,29w
106942646w,29w
106966784w,29w
106979075w,29w
108017566w,40w
108017566w,183w
108017566w,214w
108028118w,148w
108028119w,148w
108039398w,230w
108039403w,230w
108040343w,145w
109892967w,858w
1062150w,837w
1064830w,17w
1071495w,38w
1075808w,96w
16891784w,145w
17001462w,148w
17447452w,55w
17510883w,145w
17650694w,145w
17770832w,20w
18199963w,29w
52063661w,30w
106592095w,29w
192981w,889w
472588w,117w
477232w,232w
259336w,148w
270983w,17w
64606190w,40w
64618642w,219w
64682822w,31w
64686790w,45w
64686791w,45w
64688323w,45w
64692250w,33w
64699245w,43w
64705215w,43w
64705217w,43w
64705498w,43w
64787655w,711w
64810749w,145w
64811595w,145w
64811610w,145w
64811643w,145w
64811654w,145w
64811663w,145w
64811668w,145w
64817808w,145w
64817813w,145w
64821779w,183w
64821783w,183w
64821780w,183w
64829487w,142w
106660680w,29w
106661256w,29w
106742109w,29w
500718w,298w
501097w,298w
501110w,298w
503712w,664w
539730w,29w
721817w,38w
732723w,224w
106661627w,29w
1294648w,399w
1303856w,38w
1309708w,55w
1322853w,869w
1309708w,1747689w
9079796w,219w
9082186w,29w
9187803w,36w
10345245w,155w
10359744w,155w
10540737w,34w
10661058w,29w
10829227w,881w
10840433w,881w
11368031w,17w
11378977w,17w
11395081w,17w
11447764w,17w
11549996w,17w
11678145w,17w
11747195w,36w
12115573w,212w
12259811w,29w
1144760w,408w
1149782w,29w
1157535w,17w
1208310w,30w
1351209w,17w
1362222w,114w
1404282w,924w
22980018w,142w
22997445w,142w
22997450w,142w
22997670w,142w
23707656w,31w
24138031w,29w
24961740w,96w
25934187w,29w
27892263w,155w
28173401w,668w
28503398w,29w
28518876w,29w
28667534w,159w
28682892w,17w
29015225w,265w
29015225w,15180w
29015225w,34266w
29574265w,34w
29583783w,38w
29583809w,38w
29583851w,142w
29583919w,183w
29583916w,183w
12266866w,29w
12266864w,29w
12437742w,668w
12579698w,232w
12583236w,423w
12584985w,884w
12592972w,884w
12607310w,884w
12615554w,884w
12622333w,884w
12722216w,218w
13437151w,31w
13437152w,31w
13469680w,184w
550502w,1183w
3685237w,38w
3748608w,1183w
3895632w,38w
4060347w,232w
106860598w,29w
106860602w,29w
106869655w,29w
106874889w,29w
106899687w,29w
106916916w,29w
107892669w,148w
108007062w,851w
108028129w,148w
108028151w,148w
108037419w,230w
2219451w,1005w
2256022w,29w
2271810w,38w
2274441w,29w
2309428w,39w
2347510w,408w
2350368w,31w
2393728w,30w
2441211w,31w
1026982w,241w
1034179w,804w
1048112w,218w
1049348w,142w
106675712w,29w
106675845w,29w
106685238w,29w
106715344w,29w
106729809w,29w
106739107w,29w
106756747w,29w
106766586w,29w
106766595w,29w
106766992w,29w
106767063w,29w
106767107w,29w
106770949w,29w
106771472w,29w
106772485w,29w
106774453w,29w
5903143w,29w
5910640w,29w
5911373w,29w
6062995w,800w
6121546w,96w
6807544w,668w
6921381w,408w
7005299w,668w
7214285w,155w
7414296w,96w
7499739w,16w
7678819w,668w
8071250w,148w
9034340w,29w
1025825w,794w
1072369w,686w
1100749w,16w
1137314w,34w
651314w,219w
661720w,29w
686773w,183w
325468w,96w
985595w,159w
1025339w,148w
1620833w,183w
1639468w,114w
1763364w,298w
1869866w,408w
20048515w,155w
20643274w,851w
20650483w,884w
24677919w,145w
32979655w,794w
48841031w,36w
55739617w,38w
64699201w,43w
64860434w,29w
2907w,750w
210957w,145w
213232w,96w
1330981w,142w
1353565w,258w
1426014w,31w
281844w,750w
285468w,17w
3301866w,262w
3301928w,16w
3821829w,96w
3848116w,96w
3848157w,45w
4915544w,851w
454019w,36w
464899w,96w
120314w,148w
125445w,148w
734915w,17w
748894w,29w
752218w,155w
3051521w,148w
3146149w,142w
3324041w,39w
3327474w,29w
3327561w,29w
3386955w,36w
3397615w,142w
3399144w,29w
3529714w,17w
2485097w,1019w
2528092w,31w
2559020w,232w
2585020w,17w
2598504w,148w
2629538w,29w
739065w,711w
738582w,16w
739065w,159w
742362w,213w
18464866w,29w
18464888w,29w
18464897w,29w
18482682w,29w
19839363w,29w
19864478w,30w
19871567w,408w
20059158w,29w
20400017w,878w
20492095w,29w
20492760w,29w
20822568w,55w
20967649w,55w
20985665w,29w
21235292w,38w
21652666w,17w
21893805w,408w
22504955w,29w
5047955w,45w
8038519w,16w
8343759w,736w
8343768w,155w
9643691w,77w
9672205w,45w
11605230w,148w
1920259w,1028w
1963564w,117w
1983409w,29w
2055623w,29w
2071706w,258w
2096005w,408w
2105432w,1005w
2119834w,1049w
2125633w,668w
334303w,145w
338245w,215w
367395w,28w
65531551w,736w
65531548w,736w
65531582w,419w
65531584w,419w
106594303w,29w
106685253w,29w
3895463w,38w
3957384w,29w
4099435w,29w
4128562w,159w
4304424w,159w
4342125w,813w
4417045w,159w
4504870w,15180w
4504870w,159w
4504870w,34266w
4504956w,159w
4936252w,36w
4047w,148w
9468w,668w
32378w,948w
2688899w,38w
2753218w,159w
2754277w,55w
2843637w,29w
2942289w,142w
2942348w,142w
2947290w,39w
2963122w,39w
2993117w,159w
2998035w,39w
3041140w,31w
3079585w,142w
3086365w,55w
3087076w,28025w
3087076w,17w
2887569w,29w
2899365w,29w
2908783w,31w
2925869w,28w
2925869w,40w
2935530w,29w
2942319w,142w
2942524w,29w
2982737w,414w
2985390w,668w
56702876w,29w
56786697w,29w
56791713w,29w
56791716w,29w
56824910w,29w
56824931w,29w
56824961w,29w
56824964w,29w
59504286w,183w
59914338w,29w
60461569w,265w
60845971w,1028w
63241198w,29w
64399664w,142w
64401905w,142w
64468643w,236w
64473318w,215w
64485231w,215w
64518165w,223w
64526756w,212w
64533632w,159w
64533632w,212w
64533643w,159w
64533643w,212w
64559955w,28w
64577166w,218w
64590517w,55w
64590591w,31w
64590591w,55w
1588443w,29w
1627991w,29w
1643787w,29w
29583954w,183w
29877009w,29w
29908610w,928w
30773293w,229w
31025121w,229w
31028244w,33w
31739566w,419w
35972933w,38w
36150780w,1041w
39090747w,241w
42449871w,29w
43129068w,29w
43147146w,29w
43147418w,29w
43147553w,29w
43148986w,29w
3111473w,29w
3111483w,29w
3119914w,29w
17645141w,145w
17645184w,145w
43148459w,29w
43148470w,29w
43148572w,29w
43148778w,29w
106888015w,29w
106959690w,29w
106978277w,29w
107287601w,55w
107892716w,148w
108039402w,230w
108040841w,38w
108076674w,1008w
113162530w,79w
1945612w,183w
1945612w,213w
2407530w,801w
2733427w,29w
2845953w,1025w
2916296w,1041w
60977w,822w
61535w,833w
46313w,28w
57357w,145w
677447w,159w
56824973w,29w
61861405w,29w
63872704w,29w
64398333w,191w
64399599w,142w
64443045w,29w
64450064w,184w
64450698w,184w
64450697w,184w
64485227w,215w
64520785w,20w
64532571w,34w
64532616w,159w
64559949w,28w
64559954w,28w
64590521w,183w
64606184w,40w
64686735w,45w
64686794w,45w
64686793w,45w
64688007w,45w
64688321w,45w
64699212w,43w
64759234w,159w
64759342w,159w
64759343w,159w
64760090w,159w
64760342w,159w
64760372w,159w
1678694w,183w
1714967w,35w
1728464w,41w
1740891w,96w
1742795w,41w
1818061w,29w
1889313w,398w
64812598w,183w
64812633w,183w
64812668w,183w
64812684w,183w
64816711w,145w
64816712w,145w
64830379w,142w
64850279w,29w
64850895w,29w
64987063w,29w
64987068w,29w
64987092w,29w
64987115w,29w
65007092w,232w
65007106w,232w
65007959w,38w
65007982w,38w
65010252w,38w
65011428w,38w
65028465w,38w
65099463w,408w
65099475w,408w
65100035w,408w
65100038w,408w
65100049w,408w
65114345w,800w
65156372w,965w
65331250w,96w
65339274w,96w
65461902w,96w
65465039w,96w
65493544w,96w
65494516w,96w
65494575w,96w
65497620w,96w
65498998w,96w
65517711w,30w
65531412w,414w
65531426w,298w
65531435w,298w
65531433w,298w
65531443w,298w
65531464w,298w
65531472w,298w
65531492w,298w
43152021w,29w
43152032w,29w
43176609w,29w
179570w,948w
644288w,38w
130025w,96w
156093w,843w
13383295w,17w
15732525w,145w
16324987w,223w
16363480w,145w
16886870w,804w
16920958w,38w
16946829w,230w
16965955w,252w
756815w,25w
766270w,242w
776727w,213w
3635169w,668w
3664901w,38w
3772508w,242w
3796698w,142w
3860567w,38w
3861452w,38w
3892852w,794w
3892852w,796w
817250w,668w
829483w,218w
840462w,145w
849273w,34w
853265w,96w
43151517w,29w
43152249w,29w
43176887w,29w
43178279w,29w
43178345w,29w
46589461w,29w
49505699w,96w
49663210w,17w
55586076w,38w
56044734w,29w
56190543w,29w
56307516w,159w
56317315w,96w
56702866w,29w
56702871w,29w
56702868w,29w
56762102w,29w
56824920w,29w
368346w,38w
375604w,159w
383659w,29w
387687w,218w
2459376w,148w
2472393w,142w
2491526w,142w
2513161w,29w
2694812w,55w
2722506w,38w
106772783w,29w
106774275w,29w
106774283w,29w
106782885w,29w
548153w,668w
551959w,142w
588680w,159w
600062w,38w
620593w,43w
744552w,38w
832262w,1020w
501433w,298w
507390w,29w
515850w,55w
517633w,114w
542944w,38w
515850w,1747689w
1647616w,29w
1681727w,142w
1683260w,148w
3321893w,148w
3333420w,668w
3342246w,17w
3471662w,29w
3540839w,884w
3732061w,29w
3897006w,29w
3983167w,38w
4061458w,159w
4201793w,159w
4214337w,232w
4237958w,159w
312118w,39w
329967w,38w
975568w,881w
1010268w,142w
1025354w,31w
1026991w,241w
106627423w,29w
106635156w,29w
106635216w,29w
106639207w,29w
106641881w,29w
106641966w,29w
106642186w,29w
106660679w,29w
106676217w,29w
106740329w,29w
106753917w,29w
106754088w,29w
106759854w,29w
106763975w,29w
7559997w,668w
7590832w,224w
7777497w,29w
7818621w,881w
8343763w,96w
9186871w,36w
9710075w,183w
10283837w,45w
10344994w,155w
10508756w,35w
1713486w,183w
1735350w,183w
1736171w,142w
1785732w,668w
1811200w,31w
1839114w,142w
1848058w,408w
1850707w,31w
1877576w,148w
1880010w,30w
1735350w,1747689w
215992w,414w
259313w,40w
697278w,17w
703480w,43w
710359w,17w
717842w,218w
156439w,183w
157886w,183w
106540w,974w
106540w,1036w
2887041w,142w
2887123w,29w
65122987w,241w
65455940w,96w
65926560w,1028w
65965285w,148w
66053233w,159w
97633694w,29w
99237891w,155w
105136101w,794w
106581048w,29w
106587787w,29w
106590088w,29w
106595800w,29w
106600802w,29w
106602320w,29w
106614026w,29w
106615201w,29w
108016068w,419w
108094935w,142w
108304246w,35w
109928815w,31w
5052171w,16w
5061406w,796w
5142855w,29w
5313281w,668w
5471183w,16w
5557613w,29w
5613948w,155w
5754016w,29w
5785815w,29w
5906111w,794w
5910596w,29w
5910716w,29w
5912878w,29w
5954835w,794w
6018547w,96w
6050194w,29w
