5351073h,http://www.wikidata.org/entity/Q5351073,Succeeded
12495h,http://www.wikidata.org/entity/Q12495,Succeeded
18547h,http://www.wikidata.org/entity/Q18547,Succeeded
5764722h,http://www.wikidata.org/entity/Q5764722,Succeeded
25247913h,http://www.wikidata.org/entity/Q5152499,Succeeded
24971211h,http://www.wikidata.org/entity/Q24971211,Succeeded
550379h,http://www.wikidata.org/entity/Q550379,Succeeded
569978h,http://www.wikidata.org/entity/Q569978,Succeeded
587108h,http://www.wikidata.org/entity/Q587108,Succeeded
5637110h,http://www.wikidata.org/entity/Q5637110,Succeeded
5602124h,http://www.wikidata.org/entity/Q5602124,Succeeded
5764648h,http://www.wikidata.org/entity/Q5764648,Succeeded
5545989h,http://www.wikidata.org/entity/Q5545987,Succeeded
5594662h,http://www.wikidata.org/entity/Q5594662,Succeeded
5472026h,http://www.wikidata.org/entity/Q5472026,Succeeded
5764519h,http://www.wikidata.org/entity/Q5764519,Succeeded
5764570h,http://www.wikidata.org/entity/Q5764570,Succeeded
5764576h,http://www.wikidata.org/entity/Q5764576,Succeeded
240711h,http://www.wikidata.org/entity/Q240711,Succeeded
220141h,http://www.wikidata.org/entity/Q220141,Succeeded
264203h,http://www.wikidata.org/entity/Q264203,Succeeded
264858h,http://www.wikidata.org/entity/Q264858,Succeeded
1795050h,http://www.wikidata.org/entity/Q1795050,Succeeded
2135814h,http://www.wikidata.org/entity/Q2135814,Succeeded
2110681h,http://www.wikidata.org/entity/Q15125469,Succeeded
1874734h,http://www.wikidata.org/entity/Q1874734,Succeeded
1682221h,http://www.wikidata.org/entity/Q1682221,Succeeded
2048307h,http://www.wikidata.org/entity/Q2048307,Succeeded
1743514h,http://www.wikidata.org/entity/Q1743514,Succeeded
19564041h,http://www.wikidata.org/entity/Q19564041,Succeeded
23640921h,http://www.wikidata.org/entity/Q23640921,Succeeded
24693404h,http://www.wikidata.org/entity/Q24693404,Succeeded
19817552h,http://www.wikidata.org/entity/Q19817552,Succeeded
21504226h,http://www.wikidata.org/entity/Q21504226,Succeeded
20075891h,http://www.wikidata.org/entity/Q20075891,Succeeded
19864040h,http://www.wikidata.org/entity/Q456685,Succeeded
28184310h,http://www.wikidata.org/entity/Q28184310,Succeeded
28184307h,http://www.wikidata.org/entity/Q28184307,Succeeded
26546731h,http://www.wikidata.org/entity/Q38251423,Succeeded
6109260h,http://www.wikidata.org/entity/Q6109260,Succeeded
6109264h,http://www.wikidata.org/entity/Q6109264,Succeeded
6108856h,http://www.wikidata.org/entity/Q6108856,Succeeded
2908788h,http://www.wikidata.org/entity/Q2908788,Succeeded
2971063h,http://www.wikidata.org/entity/Q2971063,Succeeded
3037053h,http://www.wikidata.org/entity/Q3037053,Succeeded
2935180h,http://www.wikidata.org/entity/Q2935180,Succeeded
2928530h,http://www.wikidata.org/entity/Q2928530,Succeeded
5911415h,http://www.wikidata.org/entity/Q5911415,Succeeded
5872085h,http://www.wikidata.org/entity/Q5872085,Succeeded
5952911h,http://www.wikidata.org/entity/Q5952911,Succeeded
5911169h,http://www.wikidata.org/entity/Q5911169,Succeeded
2416198h,http://www.wikidata.org/entity/Q2416198,Succeeded
2837946h,http://www.wikidata.org/entity/Q2837946,Succeeded
2461831h,http://www.wikidata.org/entity/Q2461831,Succeeded
2297323h,http://www.wikidata.org/entity/Q2297323,Succeeded
2363048h,http://www.wikidata.org/entity/Q2363048,Succeeded
2258969h,http://www.wikidata.org/entity/Q2258969,Succeeded
2648096h,http://www.wikidata.org/entity/Q2648096,Succeeded
691491h,http://www.wikidata.org/entity/Q691491,Succeeded
731089h,http://www.wikidata.org/entity/Q731089,Succeeded
737602h,http://www.wikidata.org/entity/Q737602,Succeeded
696927h,http://www.wikidata.org/entity/Q696927,Succeeded
713960h,http://www.wikidata.org/entity/Q713960,Succeeded
168575h,http://www.wikidata.org/entity/Q168575,Succeeded
189476h,http://www.wikidata.org/entity/Q189476,Succeeded
145361h,http://www.wikidata.org/entity/Q145361,Succeeded
15978898h,http://www.wikidata.org/entity/Q15978898,Succeeded
14705265h,http://www.wikidata.org/entity/Q14705265,Succeeded
12072758h,http://www.wikidata.org/entity/Q12072758,Succeeded
14693298h,http://www.wikidata.org/entity/Q17019762,Succeeded
15909474h,http://www.wikidata.org/entity/Q15909474,Succeeded
14689609h,http://www.wikidata.org/entity/Q6117167,Succeeded
15228738h,http://www.wikidata.org/entity/Q15228738,Succeeded
13529180h,http://www.wikidata.org/entity/Q13529180,Succeeded
3699364h,http://www.wikidata.org/entity/Q3699364,Succeeded
4261384h,http://www.wikidata.org/entity/Q4261384,Succeeded
4793581h,http://www.wikidata.org/entity/Q4793581,Succeeded
4792351h,http://www.wikidata.org/entity/Q4792350,Succeeded
4260261h,http://www.wikidata.org/entity/Q4260261,Succeeded
4272608h,http://www.wikidata.org/entity/Q4272608,Succeeded
4806513h,http://www.wikidata.org/entity/Q4806513,Succeeded
4479814h,http://www.wikidata.org/entity/Q4479814,Succeeded
4272804h,http://www.wikidata.org/entity/Q4272804,Succeeded
4261513h,http://www.wikidata.org/entity/Q5594404,Succeeded
4040675h,http://www.wikidata.org/entity/Q4040675,Succeeded
7988923h,http://www.wikidata.org/entity/Q7988923,Succeeded
7988926h,http://www.wikidata.org/entity/Q7988926,Succeeded
280910h,http://www.wikidata.org/entity/Q280910,Succeeded
306000h,http://www.wikidata.org/entity/Q306000,Succeeded
280339h,http://www.wikidata.org/entity/Q280339,Succeeded
510121h,http://www.wikidata.org/entity/Q510121,Succeeded
4949600h,http://www.wikidata.org/entity/Q4949600,Succeeded
4979998h,http://www.wikidata.org/entity/Q4979998,Succeeded
4841991h,http://www.wikidata.org/entity/Q4841991,Succeeded
4822225h,http://www.wikidata.org/entity/Q4822225,Succeeded
4842213h,http://www.wikidata.org/entity/Q4842213,Succeeded
6824905h,http://www.wikidata.org/entity/Q151599,Succeeded
7126178h,http://www.wikidata.org/entity/Q7126178,Succeeded
7247936h,http://www.wikidata.org/entity/Q7247936,Succeeded
6747847h,http://www.wikidata.org/entity/Q6747847,Succeeded
7216435h,http://www.wikidata.org/entity/Q7216435,Succeeded
6825178h,http://www.wikidata.org/entity/Q6825178,Succeeded
6439146h,http://www.wikidata.org/entity/Q6439146,Succeeded
6448583h,http://www.wikidata.org/entity/Q6448583,Succeeded
6493973h,http://www.wikidata.org/entity/Q6493973,Succeeded
6869131h,http://www.wikidata.org/entity/Q6869131,Succeeded
6411467h,http://www.wikidata.org/entity/Q6411469,Succeeded
6751307h,http://www.wikidata.org/entity/Q6751307,Succeeded
6914041h,http://www.wikidata.org/entity/Q214139,Succeeded
7040843h,http://www.wikidata.org/entity/Q7040843,Succeeded
16890775h,http://www.wikidata.org/entity/Q16890775,Succeeded
16995460h,http://www.wikidata.org/entity/Q16995460,Succeeded
17619057h,http://www.wikidata.org/entity/Q17619057,Succeeded
16949846h,http://www.wikidata.org/entity/Q16949846,Succeeded
16843761h,http://www.wikidata.org/entity/Q16843761,Succeeded
17444603h,http://www.wikidata.org/entity/Q17444603,Succeeded
17512898h,http://www.wikidata.org/entity/Q4792350,Succeeded
7988922h,http://www.wikidata.org/entity/Q7988922,Succeeded
743147h,http://www.wikidata.org/entity/Q743147,Succeeded
804686h,http://www.wikidata.org/entity/Q804686,Succeeded
752939h,http://www.wikidata.org/entity/Q752939,Succeeded
646339h,http://www.wikidata.org/entity/Q646339,Succeeded
634258h,http://www.wikidata.org/entity/Q634258,Succeeded
656743h,http://www.wikidata.org/entity/Q656743,Succeeded
1368043h,http://www.wikidata.org/entity/Q1368043,Succeeded
7503956h,http://www.wikidata.org/entity/Q7503956,Succeeded
7419570h,http://www.wikidata.org/entity/Q7419570,Succeeded
7281354h,http://www.wikidata.org/entity/Q7281354,Succeeded
7520490h,http://www.wikidata.org/entity/Q7520490,Succeeded
7575371h,http://www.wikidata.org/entity/Q7575371,Succeeded
7591596h,http://www.wikidata.org/entity/Q7591596,Succeeded
7641354h,http://www.wikidata.org/entity/Q7641354,Succeeded
7643550h,http://www.wikidata.org/entity/Q7643550,Succeeded
7553765h,http://www.wikidata.org/entity/Q7553765,Succeeded
3359202h,http://www.wikidata.org/entity/Q3359202,Succeeded
3185653h,http://www.wikidata.org/entity/Q3185653,Succeeded
3471438h,http://www.wikidata.org/entity/Q3471438,Succeeded
3498798h,http://www.wikidata.org/entity/Q3498798,Succeeded
3153055h,http://www.wikidata.org/entity/Q3153055,Succeeded
3482309h,http://www.wikidata.org/entity/Q3482309,Succeeded
3414568h,http://www.wikidata.org/entity/Q3414568,Succeeded
3389734h,http://www.wikidata.org/entity/Q3389734,Succeeded
5230243h,http://www.wikidata.org/entity/Q5230243,Succeeded
5061223h,http://www.wikidata.org/entity/Q5061223,Succeeded
5179785h,http://www.wikidata.org/entity/Q5179785,Succeeded
5189543h,http://www.wikidata.org/entity/Q5189543,Succeeded
5302326h,http://www.wikidata.org/entity/Q5302326,Succeeded
5065298h,http://www.wikidata.org/entity/Q5065298,Succeeded
5330926h,http://www.wikidata.org/entity/Q5330926,Succeeded
5120095h,http://www.wikidata.org/entity/Q5120095,Succeeded
4985118h,http://www.wikidata.org/entity/Q4985118,Succeeded
896259h,http://www.wikidata.org/entity/Q896259,Succeeded
804702h,http://www.wikidata.org/entity/Q804702,Succeeded
65043882h,http://www.wikidata.org/entity/Q65043882,Succeeded
65042009h,http://www.wikidata.org/entity/Q19871631,Succeeded
43371249h,http://www.wikidata.org/entity/Q43371249,Succeeded
48843972h,http://www.wikidata.org/entity/Q48843972,Succeeded
47004857h,http://www.wikidata.org/entity/Q47004857,Succeeded
38251968h,http://www.wikidata.org/entity/Q38251968,Succeeded
44406603h,http://www.wikidata.org/entity/Q44406603,Succeeded
34204337h,http://www.wikidata.org/entity/Q34204337,Succeeded
113164237h,http://www.wikidata.org/entity/Q3145454,Succeeded
113163876h,http://www.wikidata.org/entity/Q7588502,Succeeded
113164074h,http://www.wikidata.org/entity/Q3145697,Succeeded
113171856h,http://www.wikidata.org/entity/Q7885775,Succeeded
1368798h,http://www.wikidata.org/entity/Q1368798,Succeeded
1430318h,http://www.wikidata.org/entity/Q1430318,Succeeded
1426968h,http://www.wikidata.org/entity/Q1426968,Succeeded
31827738h,http://www.wikidata.org/entity/Q22978033,Succeeded
30644484h,http://www.wikidata.org/entity/Q30644484,Succeeded
1457875h,http://www.wikidata.org/entity/Q1457875,Succeeded
104083353h,http://www.wikidata.org/entity/Q5152499,Succeeded
108865673h,http://www.wikidata.org/entity/Q7885770,Succeeded
99703247h,http://www.wikidata.org/entity/Q1221513,Succeeded
107168152h,http://www.wikidata.org/entity/Q6751348,Succeeded
85802924h,http://www.wikidata.org/entity/Q22079320,Succeeded
952861h,http://www.wikidata.org/entity/Q952861,Succeeded
995338h,http://www.wikidata.org/entity/Q995338,Succeeded
1092961h,http://www.wikidata.org/entity/Q1092961,Succeeded
1127749h,http://www.wikidata.org/entity/Q1127749,Succeeded
1096141h,http://www.wikidata.org/entity/Q1096141,Succeeded
1541365h,http://www.wikidata.org/entity/Q1541365,Succeeded
1147483h,http://www.wikidata.org/entity/Q1147483,Succeeded
1304383h,http://www.wikidata.org/entity/Q1304383,Succeeded
1143174h,http://www.wikidata.org/entity/Q1143174,Succeeded
1281171h,http://www.wikidata.org/entity/Q1281171,Succeeded
1200583h,http://www.wikidata.org/entity/Q1200583,Succeeded
1309059h,http://www.wikidata.org/entity/Q1309059,Succeeded
19513101h,http://www.wikidata.org/entity/Q19513101,Succeeded
18760038h,http://www.wikidata.org/entity/Q18760038,Succeeded
18534517h,http://www.wikidata.org/entity/Q18534517,Succeeded
54873914h,http://www.wikidata.org/entity/Q54873914,Succeeded
55605106h,http://www.wikidata.org/entity/Q23301461,Succeeded
55075422h,http://www.wikidata.org/entity/Q55075422,Succeeded
55209416h,http://www.wikidata.org/entity/Q19462194,Succeeded
54427554h,http://www.wikidata.org/entity/Q54427554,Succeeded
55347999h,http://www.wikidata.org/entity/Q55347999,Succeeded
51956193h,http://www.wikidata.org/entity/Q51956193,Succeeded
61741817h,http://www.wikidata.org/entity/Q673627,Succeeded
60748351h,http://www.wikidata.org/entity/Q60748351,Succeeded
60323642h,http://www.wikidata.org/entity/Q60323642,Succeeded
60767158h,http://www.wikidata.org/entity/Q60767158,Succeeded
